Geography,Population Estimate (as of July 1) - 2015
"Los Alamos County, New Mexico",17785
"Luna County, New Mexico",24518
"McKinley County, New Mexico",76708
"Mora County, New Mexico",4596
"Otero County, New Mexico",64362
"Quay County, New Mexico",8455
"Rio Arriba County, New Mexico",39465
"Roosevelt County, New Mexico",19120
"Sandoval County, New Mexico",139394
"San Juan County, New Mexico",118737
"San Miguel County, New Mexico",27967
"Santa Fe County, New Mexico",148686
"Sierra County, New Mexico",11282
"Socorro County, New Mexico",17256
"Taos County, New Mexico",32907
"Torrance County, New Mexico",15485
"Union County, New Mexico",4201
"Valencia County, New Mexico",75737
"Albany County, New York",309381
"Allegany County, New York",47462
"Bronx County, New York",1455444
"Broome County, New York",196567
"Cattaraugus County, New York",77922
"Cayuga County, New York",78288
"Chautauqua County, New York",130779
"Chemung County, New York",87071
"Chenango County, New York",48844
"Clinton County, New York",81251
"Columbia County, New York",61509
"Cortland County, New York",48494
"Delaware County, New York",46053
"Dutchess County, New York",295754
"Erie County, New York",922578
"Essex County, New York",38478
"Franklin County, New York",50660
"Fulton County, New York",53992
"Genesee County, New York",58937
"Greene County, New York",47625
"Hamilton County, New York",4712
"Herkimer County, New York",63100
"Jefferson County, New York",117635
"Kings County, New York",2636735
"Lewis County, New York",26957
"Livingston County, New York",64717
"Madison County, New York",71849
"Monroe County, New York",749600
"Montgomery County, New York",49642
"Nassau County, New York",1361350
"New York County, New York",1644518
"Niagara County, New York",212652
"Oneida County, New York",232500
"Onondaga County, New York",468463
"Ontario County, New York",109561
"Orange County, New York",377647
"Orleans County, New York",41582
"Oswego County, New York",120146
"Otsego County, New York",60636
"Putnam County, New York",99042
"Queens County, New York",2339150
"Rensselaer County, New York",160266
"Richmond County, New York",474558
"Rockland County, New York",326037
"St. Lawrence County, New York",111007
"Saratoga County, New York",226249
"Schenectady County, New York",154604
"Schoharie County, New York",31330
"Schuyler County, New York",18186
"Seneca County, New York",34833
"Steuben County, New York",97631
"Suffolk County, New York",1501587
"Sullivan County, New York",74877
"Tioga County, New York",49453
"Tompkins County, New York",104926
"Ulster County, New York",180143
"Warren County, New York",64688
"Washington County, New York",62230
"Wayne County, New York",91446
"Westchester County, New York",976396
"Wyoming County, New York",41013
"Yates County, New York",25048
"Alamance County, North Carolina",158276
"Alexander County, North Carolina",37325
"Alleghany County, North Carolina",10837
"Anson County, North Carolina",25759
"Ashe County, North Carolina",27020
"Avery County, North Carolina",17689
"Beaufort County, North Carolina",47651
"Bertie County, North Carolina",20199
"Bladen County, North Carolina",34318
"Brunswick County, North Carolina",122765
"Buncombe County, North Carolina",253178
"Burke County, North Carolina",88842
"Cabarrus County, North Carolina",196762
"Caldwell County, North Carolina",81287
"Camden County, North Carolina",10309
"Carteret County, North Carolina",68879
"Caswell County, North Carolina",22941
"Catawba County, North Carolina",155056
"Chatham County, North Carolina",70928
"Cherokee County, North Carolina",27178
"Chowan County, North Carolina",14394
"Clay County, North Carolina",10703
"Cleveland County, North Carolina",96879
"Columbus County, North Carolina",56694
"Craven County, North Carolina",103451
"Cumberland County, North Carolina",323838
"Currituck County, North Carolina",25263
"Dare County, North Carolina",35663
"Davidson County, North Carolina",164622
"Davie County, North Carolina",41753
"Duplin County, North Carolina",59159
"Durham County, North Carolina",300952
"Edgecombe County, North Carolina",54150
"Forsyth County, North Carolina",369019
"Franklin County, North Carolina",63710
"Gaston County, North Carolina",213442
"Gates County, North Carolina",11431
"Graham County, North Carolina",8616
"Granville County, North Carolina",58674
"Greene County, North Carolina",21134
"Guilford County, North Carolina",517600
"Halifax County, North Carolina",52456
"Harnett County, North Carolina",128140
"Haywood County, North Carolina",59868
"Henderson County, North Carolina",112655
"Hertford County, North Carolina",24184
"Hoke County, North Carolina",52671
"Hyde County, North Carolina",5526
"Iredell County, North Carolina",169866
"Jackson County, North Carolina",41265
"Johnston County, North Carolina",185660
"Jones County, North Carolina",10013
"Lee County, North Carolina",59660
"Lenoir County, North Carolina",58106
"Lincoln County, North Carolina",81035
"McDowell County, North Carolina",44989
"Macon County, North Carolina",34201
"Madison County, North Carolina",21139
"Martin County, North Carolina",23357
"Mecklenburg County, North Carolina",1034070
"Mitchell County, North Carolina",15246
"Montgomery County, North Carolina",27548
"Moore County, North Carolina",94352
"Nash County, North Carolina",93919
"New Hanover County, North Carolina",220358
"Northampton County, North Carolina",20426
"Onslow County, North Carolina",186311
"Orange County, North Carolina",141354
"Pamlico County, North Carolina",12781
"Pasquotank County, North Carolina",39829
"Pender County, North Carolina",57611
"Perquimans County, North Carolina",13440
"Person County, North Carolina",39259
"Pitt County, North Carolina",175842
"Polk County, North Carolina",20366
"Randolph County, North Carolina",142799
"Richmond County, North Carolina",45437
"Robeson County, North Carolina",134197
"Rockingham County, North Carolina",91758
"Rowan County, North Carolina",139142
"Rutherford County, North Carolina",66390
"Sampson County, North Carolina",63724
"Scotland County, North Carolina",35509
"Stanly County, North Carolina",60714
"Stokes County, North Carolina",46351
"Surry County, North Carolina",72743
"Swain County, North Carolina",14434
"Transylvania County, North Carolina",33211
"Tyrrell County, North Carolina",4070
"Union County, North Carolina",222742
"Vance County, North Carolina",44568
"Wake County, North Carolina",1024198
"Warren County, North Carolina",20155
"Washington County, North Carolina",12385
"Watauga County, North Carolina",52906
"Wayne County, North Carolina",124132
"Wilkes County, North Carolina",68502
"Wilson County, North Carolina",81714
"Yadkin County, North Carolina",37585
"Yancey County, North Carolina",17587
"Adams County, North Dakota",2359
"Barnes County, North Dakota",11099
"Benson County, North Dakota",6753
"Billings County, North Dakota",936
"Bottineau County, North Dakota",6716
"Bowman County, North Dakota",3294
"Burke County, North Dakota",2308
"Burleigh County, North Dakota",92991
"Cass County, North Dakota",171512
"Cavalier County, North Dakota",3828
"Dickey County, North Dakota",5104
"Divide County, North Dakota",2450
"Dunn County, North Dakota",4646
"Eddy County, North Dakota",2365
"Emmons County, North Dakota",3402
"Foster County, North Dakota",3356
"Golden Valley County, North Dakota",1845
"Grand Forks County, North Dakota",70916
"Grant County, North Dakota",2388
"Griggs County, North Dakota",2314
"Hettinger County, North Dakota",2704
"Kidder County, North Dakota",2417
"LaMoure County, North Dakota",4125
"Logan County, North Dakota",1935
"McHenry County, North Dakota",5968
"McIntosh County, North Dakota",2759
"McKenzie County, North Dakota",12826
"McLean County, North Dakota",9744
"Mercer County, North Dakota",8853
"Morton County, North Dakota",30310
"Mountrail County, North Dakota",10331
"Nelson County, North Dakota",2968
"Oliver County, North Dakota",1846
"Pembina County, North Dakota",7091
"Pierce County, North Dakota",4312
"Ramsey County, North Dakota",11630
"Ransom County, North Dakota",5448
"Renville County, North Dakota",2571
"Richland County, North Dakota",16402
"Rolette County, North Dakota",14649
"Sargent County, North Dakota",3876
"Sheridan County, North Dakota",1310
"Sioux County, North Dakota",4370
"Slope County, North Dakota",767
"Stark County, North Dakota",32154
"Steele County, North Dakota",1956
"Stutsman County, North Dakota",21103
"Towner County, North Dakota",2272
"Traill County, North Dakota",8014
"Walsh County, North Dakota",10897
"Ward County, North Dakota",71275
"Wells County, North Dakota",4168
"Williams County, North Dakota",35294
"Adams County, Ohio",28024
"Allen County, Ohio",104425
"Ashland County, Ohio",53213
"Ashtabula County, Ohio",98632
"Athens County, Ohio",65886
"Auglaize County, Ohio",45876
"Belmont County, Ohio",69154
"Brown County, Ohio",43839
"Butler County, Ohio",376353
"Carroll County, Ohio",27811
"Champaign County, Ohio",38987
"Clark County, Ohio",135959
"Clermont County, Ohio",201973
"Clinton County, Ohio",41917
"Columbiana County, Ohio",104806
"Coshocton County, Ohio",36569
"Crawford County, Ohio",42306
"Cuyahoga County, Ohio",1255921
"Darke County, Ohio",52076
"Defiance County, Ohio",38352
"Delaware County, Ohio",193013
"Erie County, Ohio",75550
"Fairfield County, Ohio",151408
"Fayette County, Ohio",28679
"Franklin County, Ohio",1251722
"Fulton County, Ohio",42537
"Gallia County, Ohio",30142
"Geauga County, Ohio",94102
"Greene County, Ohio",164427
"Guernsey County, Ohio",39258
"Hamilton County, Ohio",807598
"Hancock County, Ohio",75573
"Hardin County, Ohio",31682
"Harrison County, Ohio",15450
"Henry County, Ohio",27816
"Highland County, Ohio",43026
"Hocking County, Ohio",28491
"Holmes County, Ohio",43909
"Huron County, Ohio",58469
"Jackson County, Ohio",32596
"Jefferson County, Ohio",67347
"Knox County, Ohio",61061
"Lake County, Ohio",229245
"Lawrence County, Ohio",61109
"Licking County, Ohio",170570
"Logan County, Ohio",45386
"Lorain County, Ohio",305147
"Lucas County, Ohio",433689
"Madison County, Ohio",44094
"Mahoning County, Ohio",231900
"Marion County, Ohio",65355
"Medina County, Ohio",176395
"Meigs County, Ohio",23257
"Mercer County, Ohio",40968
"Miami County, Ohio",104224
"Monroe County, Ohio",14409
"Montgomery County, Ohio",532258
"Morgan County, Ohio",14777
"Morrow County, Ohio",35074
"Muskingum County, Ohio",86290
"Noble County, Ohio",14326
"Ottawa County, Ohio",40877
"Paulding County, Ohio",18976
"Perry County, Ohio",35985
"Pickaway County, Ohio",56998
"Pike County, Ohio",28217
"Portage County, Ohio",162275
"Preble County, Ohio",41329
"Putnam County, Ohio",34042
"Richland County, Ohio",121707
"Ross County, Ohio",77170
"Sandusky County, Ohio",59679
"Scioto County, Ohio",76825
"Seneca County, Ohio",55610
"Shelby County, Ohio",48901
"Stark County, Ohio",375165
"Summit County, Ohio",541968
"Trumbull County, Ohio",203751
"Tuscarawas County, Ohio",92916
"Union County, Ohio",54277
"Van Wert County, Ohio",28562
"Vinton County, Ohio",13048
"Warren County, Ohio",224469
"Washington County, Ohio",61112
"Wayne County, Ohio",116063
"Williams County, Ohio",37120
"Wood County, Ohio",129730
"Wyandot County, Ohio",22243
"Adair County, Oklahoma",22004
"Alfalfa County, Oklahoma",5868
"Atoka County, Oklahoma",13793
"Beaver County, Oklahoma",5427
"Beckham County, Oklahoma",23768
"Blaine County, Oklahoma",9833
"Bryan County, Oklahoma",44884
"Caddo County, Oklahoma",29343
"Canadian County, Oklahoma",133378
"Carter County, Oklahoma",48689
"Cherokee County, Oklahoma",48447
"Choctaw County, Oklahoma",14997
"Cimarron County, Oklahoma",2216
"Cleveland County, Oklahoma",274458
"Coal County, Oklahoma",5651
"Comanche County, Oklahoma",124648
"Cotton County, Oklahoma",5996
"Craig County, Oklahoma",14818
"Creek County, Oklahoma",70892
"Custer County, Oklahoma",29744
"Delaware County, Oklahoma",41459
"Dewey County, Oklahoma",4995
"Ellis County, Oklahoma",4231
"Garfield County, Oklahoma",63569
"Garvin County, Oklahoma",27755
"Grady County, Oklahoma",54648
"Grant County, Oklahoma",4523
"Greer County, Oklahoma",6070
"Harmon County, Oklahoma",2788
"Harper County, Oklahoma",3754
"Haskell County, Oklahoma",12845
"Hughes County, Oklahoma",13735
"Jackson County, Oklahoma",25574
"Jefferson County, Oklahoma",6276
"Johnston County, Oklahoma",10980
"Kay County, Oklahoma",45366
"Kingfisher County, Oklahoma",15584
"Kiowa County, Oklahoma",9144
"Latimer County, Oklahoma",10483
"Le Flore County, Oklahoma",49605
"Lincoln County, Oklahoma",35042
"Logan County, Oklahoma",45996
"Love County, Oklahoma",9870
"McClain County, Oklahoma",38066
"McCurtain County, Oklahoma",33048
"McIntosh County, Oklahoma",19990
"Major County, Oklahoma",7771
"Marshall County, Oklahoma",16232
"Mayes County, Oklahoma",40887
"Murray County, Oklahoma",13936
"Muskogee County, Oklahoma",69699
"Noble County, Oklahoma",11554
"Nowata County, Oklahoma",10539
"Okfuskee County, Oklahoma",12181
"Oklahoma County, Oklahoma",776864
"Okmulgee County, Oklahoma",39187
"Osage County, Oklahoma",47887
"Ottawa County, Oklahoma",31981
"Pawnee County, Oklahoma",16436
"Payne County, Oklahoma",80850
"Pittsburg County, Oklahoma",44610
"Pontotoc County, Oklahoma",38194
"Pottawatomie County, Oklahoma",71875
"Pushmataha County, Oklahoma",11183
"Roger Mills County, Oklahoma",3788
"Rogers County, Oklahoma",90802
"Seminole County, Oklahoma",25548
"Sequoyah County, Oklahoma",41153
"Stephens County, Oklahoma",44581
"Texas County, Oklahoma",21489
"Tillman County, Oklahoma",7515
"Tulsa County, Oklahoma",639242
"Wagoner County, Oklahoma",76559
"Washington County, Oklahoma",52021
"Washita County, Oklahoma",11661
"Woods County, Oklahoma",9304
"Woodward County, Oklahoma",21559
"Baker County, Oregon",16005
"Benton County, Oregon",87572
"Clackamas County, Oregon",401515
"Clatsop County, Oregon",37831
"Columbia County, Oregon",49600
"Coos County, Oregon",63121
"Crook County, Oregon",21630
"Curry County, Oregon",22483
"Deschutes County, Oregon",175268
"Douglas County, Oregon",107685
"Gilliam County, Oregon",1859
"Grant County, Oregon",7185
"Harney County, Oregon",7200
"Hood River County, Oregon",23137
"Jackson County, Oregon",212567
"Jefferson County, Oregon",22666
"Josephine County, Oregon",84745
"Klamath County, Oregon",66016
"Lake County, Oregon",7829
"Lane County, Oregon",362895
"Lincoln County, Oregon",47038
"Linn County, Oregon",120547
"Malheur County, Oregon",30380
"Marion County, Oregon",330700
"Morrow County, Oregon",11190
"Multnomah County, Oregon",790294
"Polk County, Oregon",79391
"Sherman County, Oregon",1680
"Tillamook County, Oregon",25653
"Umatilla County, Oregon",76531
"Union County, Oregon",25790
"Wallowa County, Oregon",6856
"Wasco County, Oregon",25775
"Washington County, Oregon",574326
"Wheeler County, Oregon",1358
"Yamhill County, Oregon",102659
"Adams County, Pennsylvania",102295
"Allegheny County, Pennsylvania",1230459
"Armstrong County, Pennsylvania",67052
"Beaver County, Pennsylvania",168871
"Bedford County, Pennsylvania",48586
"Berks County, Pennsylvania",415271
"Blair County, Pennsylvania",125593
"Bradford County, Pennsylvania",61281
"Bucks County, Pennsylvania",627367
"Butler County, Pennsylvania",186818
"Cambria County, Pennsylvania",136411
"Cameron County, Pennsylvania",4732
"Carbon County, Pennsylvania",63960
"Centre County, Pennsylvania",160580
"Chester County, Pennsylvania",515939
"Clarion County, Pennsylvania",39498
"Clearfield County, Pennsylvania",80994
"Clinton County, Pennsylvania",39441
"Columbia County, Pennsylvania",66672
"Crawford County, Pennsylvania",86484
"Cumberland County, Pennsylvania",246338
"Dauphin County, Pennsylvania",272983
"Delaware County, Pennsylvania",563894
"Elk County, Pennsylvania",30872
"Erie County, Pennsylvania",278045
"Fayette County, Pennsylvania",133628
"Forest County, Pennsylvania",7410
"Franklin County, Pennsylvania",153638
"Fulton County, Pennsylvania",14629
"Greene County, Pennsylvania",37519
"Huntingdon County, Pennsylvania",45668
"Indiana County, Pennsylvania",86966
"Jefferson County, Pennsylvania",44430
"Juniata County, Pennsylvania",24737
"Lackawanna County, Pennsylvania",211917
"Lancaster County, Pennsylvania",536624
"Lawrence County, Pennsylvania",88082
"Lebanon County, Pennsylvania",137067
"Lehigh County, Pennsylvania",360685
"Luzerne County, Pennsylvania",318449
"Lycoming County, Pennsylvania",116048
"McKean County, Pennsylvania",42412
"Mercer County, Pennsylvania",114234
"Mifflin County, Pennsylvania",46500
"Monroe County, Pennsylvania",166397
"Montgomery County, Pennsylvania",819264
"Montour County, Pennsylvania",18557
"Northampton County, Pennsylvania",300813
"Northumberland County, Pennsylvania",93246
"Perry County, Pennsylvania",45685
"Philadelphia County, Pennsylvania",1567442
"Pike County, Pennsylvania",55949
"Potter County, Pennsylvania",17093
"Schuylkill County, Pennsylvania",144590
"Snyder County, Pennsylvania",40444
"Somerset County, Pennsylvania",75522
"Sullivan County, Pennsylvania",6328
"Susquehanna County, Pennsylvania",41666
"Tioga County, Pennsylvania",41877
"Union County, Pennsylvania",44954
"Venango County, Pennsylvania",53119
"Warren County, Pennsylvania",40396
"Washington County, Pennsylvania",208261
"Wayne County, Pennsylvania",51198
"Westmoreland County, Pennsylvania",357956
"Wyoming County, Pennsylvania",27800
"York County, Pennsylvania",442867
"Bristol County, Rhode Island",49084
"Kent County, Rhode Island",164801
"Newport County, Rhode Island",82423
"Providence County, Rhode Island",633473
"Washington County, Rhode Island",126517
"Abbeville County, South Carolina",24932
"Aiken County, South Carolina",165829
"Allendale County, South Carolina",9433
"Anderson County, South Carolina",194692
"Bamberg County, South Carolina",14880
"Barnwell County, South Carolina",21725
"Beaufort County, South Carolina",179589
"Berkeley County, South Carolina",202786
"Calhoun County, South Carolina",14781
"Charleston County, South Carolina",389262
"Cherokee County, South Carolina",56194
"Chester County, South Carolina",32267
"Chesterfield County, South Carolina",46017
"Clarendon County, South Carolina",33775
"Colleton County, South Carolina",37731
"Darlington County, South Carolina",67548
"Dillon County, South Carolina",31234
"Dorchester County, South Carolina",152478
"Edgefield County, South Carolina",26514
"Fairfield County, South Carolina",22747
"Florence County, South Carolina",138900
"Georgetown County, South Carolina",61298
"Greenville County, South Carolina",491863
"Greenwood County, South Carolina",69838
"Hampton County, South Carolina",20049
"Horry County, South Carolina",309199
"Jasper County, South Carolina",27824
"Kershaw County, South Carolina",63603
"Lancaster County, South Carolina",85842
"Laurens County, South Carolina",66623
"Lee County, South Carolina",17896
"Lexington County, South Carolina",281833
"McCormick County, South Carolina",9706
"Marion County, South Carolina",31747
"Marlboro County, South Carolina",27494
"Newberry County, South Carolina",38012
"Oconee County, South Carolina",75713
"Orangeburg County, South Carolina",89208
"Pickens County, South Carolina",121691
"Richland County, South Carolina",407051
"Saluda County, South Carolina",20053
"Spartanburg County, South Carolina",297302
"Sumter County, South Carolina",107480
"Union County, South Carolina",27777
"Williamsburg County, South Carolina",32535
"York County, South Carolina",251195
"Aurora County, South Dakota",2733
"Beadle County, South Dakota",18372
"Bennett County, South Dakota",3423
"Bon Homme County, South Dakota",6985
"Brookings County, South Dakota",33897
"Brown County, South Dakota",38785
"Brule County, South Dakota",5281
"Buffalo County, South Dakota",2095
"Butte County, South Dakota",10283
"Campbell County, South Dakota",1397
"Charles Mix County, South Dakota",9383
"Clark County, South Dakota",3659
"Clay County, South Dakota",13964
"Codington County, South Dakota",27939
"Corson County, South Dakota",4197
"Custer County, South Dakota",8446
"Davison County, South Dakota",19858
"Day County, South Dakota",5539
"Deuel County, South Dakota",4333
"Dewey County, South Dakota",5685
"Douglas County, South Dakota",2977
"Edmunds County, South Dakota",3999
"Fall River County, South Dakota",6867
"Faulk County, South Dakota",2337
"Grant County, South Dakota",7142
"Gregory County, South Dakota",4201
"Haakon County, South Dakota",1861
"Hamlin County, South Dakota",6047
"Hand County, South Dakota",3348
"Hanson County, South Dakota",3385
"Harding County, South Dakota",1267
"Hughes County, South Dakota",17555
"Hutchinson County, South Dakota",7301
"Hyde County, South Dakota",1397
"Jackson County, South Dakota",3321
"Jerauld County, South Dakota",1997
"Jones County, South Dakota",924
"Kingsbury County, South Dakota",4990
"Lake County, South Dakota",12622
"Lawrence County, South Dakota",24827
"Lincoln County, South Dakota",52849
"Lyman County, South Dakota",3876
"McCook County, South Dakota",5599
"McPherson County, South Dakota",2415
"Marshall County, South Dakota",4769
"Meade County, South Dakota",26986
"Mellette County, South Dakota",2050
"Miner County, South Dakota",2236
"Minnehaha County, South Dakota",185197
"Moody County, South Dakota",6430
"Oglala Lakota County, South Dakota",14373
"Pennington County, South Dakota",108702
"Perkins County, South Dakota",3019
"Potter County, South Dakota",2320
"Roberts County, South Dakota",10311
"Sanborn County, South Dakota",2355
"Spink County, South Dakota",6524
"Stanley County, South Dakota",2954
"Sully County, South Dakota",1426
"Todd County, South Dakota",9959
"Tripp County, South Dakota",5434
"Turner County, South Dakota",8209
"Union County, South Dakota",14909
"Walworth County, South Dakota",5443
"Yankton County, South Dakota",22702
"Ziebach County, South Dakota",2803
"Anderson County, Tennessee",75749
"Bedford County, Tennessee",47183
"Benton County, Tennessee",16129
"Bledsoe County, Tennessee",14502
"Blount County, Tennessee",127253
"Bradley County, Tennessee",104091
"Campbell County, Tennessee",39752
"Cannon County, Tennessee",13840
"Carroll County, Tennessee",27910
"Carter County, Tennessee",56486
"Cheatham County, Tennessee",39741
"Chester County, Tennessee",17471
"Claiborne County, Tennessee",31709
"Clay County, Tennessee",7771
"Cocke County, Tennessee",35162
"Coffee County, Tennessee",54277
"Crockett County, Tennessee",14601
"Cumberland County, Tennessee",58229
"Davidson County, Tennessee",678889
"Decatur County, Tennessee",11660
"DeKalb County, Tennessee",19182
"Dickson County, Tennessee",51487
"Dyer County, Tennessee",37893
"Fayette County, Tennessee",39165
"Fentress County, Tennessee",17917
"Franklin County, Tennessee",41449
"Gibson County, Tennessee",49399
"Giles County, Tennessee",28946
"Grainger County, Tennessee",22846
"Greene County, Tennessee",68580
"Grundy County, Tennessee",13441
"Hamblen County, Tennessee",63402
"Hamilton County, Tennessee",354098
"Hancock County, Tennessee",6572
"Hardeman County, Tennessee",25707
"Hardin County, Tennessee",25756
"Hawkins County, Tennessee",56471
"Haywood County, Tennessee",18023
"Henderson County, Tennessee",28015
"Henry County, Tennessee",32147
"Hickman County, Tennessee",24363
"Houston County, Tennessee",8149
"Humphreys County, Tennessee",18135
"Jackson County, Tennessee",11509
"Jefferson County, Tennessee",53240
"Johnson County, Tennessee",17830
"Knox County, Tennessee",451324
"Lake County, Tennessee",7576
"Lauderdale County, Tennessee",26936
"Lawrence County, Tennessee",42564
"Lewis County, Tennessee",11854
"Lincoln County, Tennessee",33743
"Loudon County, Tennessee",51130
"McMinn County, Tennessee",52639
"McNairy County, Tennessee",26066
"Macon County, Tennessee",23177
"Madison County, Tennessee",97610
"Marion County, Tennessee",28487
"Marshall County, Tennessee",31552
"Maury County, Tennessee",87757
"Meigs County, Tennessee",11830
"Monroe County, Tennessee",45771
"Montgomery County, Tennessee",193479
"Moore County, Tennessee",6322
"Morgan County, Tennessee",21498
"Obion County, Tennessee",30639
"Overton County, Tennessee",22129
"Perry County, Tennessee",7929
"Pickett County, Tennessee",5146
"Polk County, Tennessee",16773
"Putnam County, Tennessee",74553
"Rhea County, Tennessee",32526
"Roane County, Tennessee",52753
"Robertson County, Tennessee",68570
"Rutherford County, Tennessee",298612
"Scott County, Tennessee",21950
"Sequatchie County, Tennessee",14811
"Sevier County, Tennessee",95946
"Shelby County, Tennessee",938069
"Smith County, Tennessee",19295
"Stewart County, Tennessee",13259
"Sullivan County, Tennessee",156791
"Sumner County, Tennessee",175989
"Tipton County, Tennessee",61870
"Trousdale County, Tennessee",8042
"Unicoi County, Tennessee",17860
"Union County, Tennessee",19119
"Van Buren County, Tennessee",5677
"Warren County, Tennessee",40435
"Washington County, Tennessee",126302
"Wayne County, Tennessee",16748
"Weakley County, Tennessee",33960
"White County, Tennessee",26521
"Williamson County, Tennessee",211672
"Wilson County, Tennessee",128911
"Anderson County, Texas",57580
"Andrews County, Texas",18105
"Angelina County, Texas",88255
"Aransas County, Texas",25350
"Archer County, Texas",8715
"Armstrong County, Texas",1947
"Atascosa County, Texas",48435
"Austin County, Texas",29563
"Bailey County, Texas",7210
"Bandera County, Texas",21269
"Bastrop County, Texas",80527
"Baylor County, Texas",3618
"Bee County, Texas",32874
"Bell County, Texas",334941
"Bexar County, Texas",1897753
"Blanco County, Texas",11004
"Borden County, Texas",648
"Bosque County, Texas",17891
"Bowie County, Texas",93389
"Brazoria County, Texas",346312
"Brazos County, Texas",215037
"Brewster County, Texas",9145
"Briscoe County, Texas",1505
"Brooks County, Texas",7230
"Brown County, Texas",37896
"Burleson County, Texas",17460
"Burnet County, Texas",45463
"Caldwell County, Texas",40522
"Calhoun County, Texas",21895
"Callahan County, Texas",13557
"Cameron County, Texas",422156
"Camp County, Texas",12682
"Carson County, Texas",5969
"Cass County, Texas",30313
"Castro County, Texas",7656
"Chambers County, Texas",38863
"Cherokee County, Texas",51542
"Childress County, Texas",7088
"Clay County, Texas",10360
"Cochran County, Texas",2953
"Coke County, Texas",3238
"Coleman County, Texas",8338
"Collin County, Texas",914127
"Collingsworth County, Texas",3044
"Colorado County, Texas",20870
"Comal County, Texas",129048
"Comanche County, Texas",13430
"Concho County, Texas",4081
"Cooke County, Texas",39229
"Coryell County, Texas",75503
"Cottle County, Texas",1426
"Crane County, Texas",5048
"Crockett County, Texas",3710
"Crosby County, Texas",5977
"Culberson County, Texas",2236
"Dallam County, Texas",7121
"Dallas County, Texas",2553385
"Dawson County, Texas",13520
"Deaf Smith County, Texas",18952
"Delta County, Texas",5217
"Denton County, Texas",780612
"DeWitt County, Texas",20797
"Dickens County, Texas",2206
"Dimmit County, Texas",10980
"Donley County, Texas",3499
"Duval County, Texas",11388
"Eastland County, Texas",18171
"Ector County, Texas",159436
"Edwards County, Texas",1894
"Ellis County, Texas",163632
"El Paso County, Texas",835593
"Erath County, Texas",41122
"Falls County, Texas",17142
"Fannin County, Texas",33693
"Fayette County, Texas",25110
"Fisher County, Texas",3827
"Floyd County, Texas",5901
"Foard County, Texas",1220
"Fort Bend County, Texas",716087
"Franklin County, Texas",10651
"Freestone County, Texas",19691
"Frio County, Texas",18793
"Gaines County, Texas",20051
"Galveston County, Texas",322225
"Garza County, Texas",6415
"Gillespie County, Texas",25963
"Glasscock County, Texas",1315
"Goliad County, Texas",7531
"Gonzales County, Texas",20573
"Gray County, Texas",23210
"Grayson County, Texas",125467
"Gregg County, Texas",124108
"Grimes County, Texas",27512
"Guadalupe County, Texas",151249
"Hale County, Texas",34360
"Hall County, Texas",3138
"Hamilton County, Texas",8159
"Hansford County, Texas",5610
"Hardeman County, Texas",3840
"Hardin County, Texas",55865
"Harris County, Texas",4538028
"Harrison County, Texas",66746
"Hartley County, Texas",6193
"Haskell County, Texas",5737
"Hays County, Texas",194739
"Hemphill County, Texas",4264
"Henderson County, Texas",79545
"Hidalgo County, Texas",842304
"Hill County, Texas",34855
"Hockley County, Texas",23433
"Hood County, Texas",55423
"Hopkins County, Texas",36223
"Houston County, Texas",22785
"Howard County, Texas",37206
"Hudspeth County, Texas",3379
"Hunt County, Texas",89844
"Hutchinson County, Texas",21734
"Irion County, Texas",1554
"Jack County, Texas",8878
"Jackson County, Texas",14816
"Jasper County, Texas",35506
"Jeff Davis County, Texas",2156
"Jefferson County, Texas",254308
"Jim Hogg County, Texas",5200
"Jim Wells County, Texas",41382
"Johnson County, Texas",159990
"Jones County, Texas",19970
"Karnes County, Texas",14975
"Kaufman County, Texas",114690
"Kendall County, Texas",40384
"Kenedy County, Texas",407
"Kent County, Texas",764
"Kerr County, Texas",50955
"Kimble County, Texas",4388
"King County, Texas",282
"Kinney County, Texas",3549
"Kleberg County, Texas",31857
"Knox County, Texas",3860
"Lamar County, Texas",49440
"Lamb County, Texas",13385
"Lampasas County, Texas",20588
"La Salle County, Texas",7631
"Lavaca County, Texas",19836
"Lee County, Texas",16898
"Leon County, Texas",17086
"Liberty County, Texas",79654
"Limestone County, Texas",23320
"Lipscomb County, Texas",3569
"Live Oak County, Texas",12229
"Llano County, Texas",19796
"Loving County, Texas",112
"Lubbock County, Texas",299453
"Lynn County, Texas",5724
"McCulloch County, Texas",8341
"McLennan County, Texas",245671
"McMullen County, Texas",820
"Madison County, Texas",14065
"Marion County, Texas",10160
"Martin County, Texas",5641
"Mason County, Texas",4032
"Matagorda County, Texas",36770
"Maverick County, Texas",57706
"Medina County, Texas",48417
"Menard County, Texas",2164
"Midland County, Texas",161077
"Milam County, Texas",24513
"Mills County, Texas",4900
"Mitchell County, Texas",9067
"Montague County, Texas",19262
"Montgomery County, Texas",537559
"Moore County, Texas",22255
"Morris County, Texas",12516
"Motley County, Texas",1148
"Nacogdoches County, Texas",65664
"Navarro County, Texas",48323
"Newton County, Texas",13986
"Nolan County, Texas",15107
"Nueces County, Texas",359715
"Ochiltree County, Texas",10747
"Oldham County, Texas",2069
"Orange County, Texas",84260
"Palo Pinto County, Texas",27895
"Panola County, Texas",23766
"Parker County, Texas",126042
"Parmer County, Texas",9749
"Pecos County, Texas",16203
"Polk County, Texas",46972
"Potter County, Texas",121802
"Presidio County, Texas",6876
